"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6335","iframeTest","","2026-09-07","passed","2026-09-07","","test-iFrame.spec.js","",""
"","86559","alert-test","","2026-09-07","passed","2026-09-07","","alert-modal-test.spec.js","",""
"","13603","test-one Sauce Labs Onesie","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.js","",""
"","25630","Example1","","2026-09-07","passed","2026-09-07","","Test-File-Locators.spec.js","",""
"","5708","test-one Sauce Labs Backpack","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.js","",""
"","40064","dragandDrop","","2026-09-07","broken","2026-09-07","","test-iFrame.spec.js","",""
"","3199","visualcomparison","","2026-09-07","passed","2026-09-07","","screenshot.spec.js","",""
"","10253","radioButton-test","","2026-09-07","passed","2026-09-07","","testfile-aug5.spec.js","",""
"","1157","test-task-one","","2026-09-07","passed","2026-09-07","","task-one.spec.js","",""
"","25750","childWindow","","2026-09-07","passed","2026-09-07","","childWindow.spec.js","",""
"","5502","test-on Sauce Labs Backpack","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.ts","",""
"","4411","test-on Sauce Labs Bike Light","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.ts","",""
"","6330","alert-modal-javascript","","2026-09-07","failed","2026-09-07","","javascript-alert.spec.js","",""
"","82104","test-on Sauce Labs Onesie","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.ts","",""
"","5012","First Sample test","","2026-09-07","passed","2026-09-07","","First.spec.js","",""
"","20864","dropdown-test","","2026-09-07","passed","2026-09-07","","dropdown-test.spec.js","",""
"","3495","screenshot","","2026-09-07","passed","2026-09-07","","screenshot.spec.js","",""
"","5839","test-one Sauce Labs Bike Light","","2026-09-07","passed","2026-09-07","","demo-projectPOM.spec.js","",""
"","140034","datepicker","","2026-09-07","failed","2026-09-07","","datepicker.spec.js","",""
"","11411","checkbox-test","","2026-09-07","passed","2026-09-07","","testfile-aug5.spec.js","",""
"","6111","testKeyboardAction","","2026-09-07","passed","2026-09-07","","test-Keyboardactions.spec.js","",""
"","14479","test-one","","2026-09-07","passed","2026-09-07","","demo-project.spec.js","",""
